image_name,number_label
517325_12_31hvps_13,2.0
429028_1_31hvps_13,3.0
462683_25_20hvps_4,1.0
240257_11_31hvps_12,
396561_11_25hvps_7,
423215_4_31hvps_13,
1832207_1_20hvps_4,
897801_4_31hvps_13,
342706_1_02hvps_16,
215673_2_02hvps_16,
631217_3_31hvps_13,
151131_5_06hvps_21,
76347_12_30hvps_11,
534898_3_31hvps_13,
3163907_3_23hvps_6,
1802182_11_31hvps_13,
71457_7_19hvps_3,
381023_3_25hvps_7,
1834755_2_31hvps_13,
261422_7_20hvps_4,
1441705_9_19hvps_3,
185564_1_02hvps_16,
716452_1_31hvps_13,
35884_1_06hvps_21,
57821_2_25hvps_7,
397067_4_25hvps_7,
469991_8_31hvps_13,
129631_1_27hvps_9,
1835870_2_20hvps_4,
958305_1_31hvps_13,
378700_2_31hvps_13,
1866677_23_31hvps_13,
1810368_5_31hvps_13,
925759_6_31hvps_13,
77459_1_30hvps_11,
2527330_6_19hvps_3,
350827_1_02hvps_16,
1313614_5_19hvps_3,
70558_1_29hvps_10,
272978_1_31hvps_12,
82876_1_31hvps_12,
34064_1_29hvps_10,
2013277_3_20hvps_4,
720037_3_31hvps_13,
1823667_1_20hvps_4,
71939_41_30hvps_11,
1690227_2_31hvps_13,
511330_1_31hvps_13,
185575_1_31hvps_12,
111247_11_20hvps_4,
114908_1_26hvps_8,
39254_1_01hvps_14,
200874_6_02hvps_16,
337850_1_02hvps_16,
177686_1_31hvps_12,
380732_1_02hvps_16,
641735_11_31hvps_13,
364720_1_31hvps_13,
679140_9_31hvps_13,
1850920_34_20hvps_4,
45895_1_01hvps_14,
335294_3_19hvps_3,
383211_3_31hvps_13,
352318_46_19hvps_3,
344944_23_01hvps_14,
90744_6_01hvps_14,
38423_21_29hvps_10,
606164_4_31hvps_13,
17814_3_25hvps_7,
657642_6_07hvps_22,
413327_2_25hvps_7,
473160_9_31hvps_13,
593001_2_31hvps_13,
78486_1_31hvps_12,
471258_4_31hvps_13,
29308_5_06hvps_21,
28309_6_29hvps_10,
1264860_1_19hvps_3,
1086342_33_31hvps_13,
528015_3_31hvps_13,
167721_1_31hvps_13,
643337_7_31hvps_13,
1765899_6_31hvps_13,
97795_14_22hvps_5,
171670_2_31hvps_13,
204267_5_20hvps_4,
66907_1_02hvps_16,
65144_21_19hvps_3,
874660_1_31hvps_13,
1293211_13_31hvps_13,
486082_15_31hvps_13,
153851_3_02hvps_16,
62391_5_02hvps_16,
72950_2_30hvps_11,
1863563_24_31hvps_13,
644936_3_31hvps_13,
177483_8_30hvps_11,
37651_24_25hvps_7,
1814484_5_31hvps_13,
1823319_1_20hvps_4,
82588_2_31hvps_12,
361685_3_07hvps_22,
777378_6_23hvps_6,
68515_10_02hvps_16,
82903_2_27hvps_9,
3594462_2_23hvps_6,
1014383_8_31hvps_13,
170370_1_31hvps_13,
1015202_2_31hvps_13,
337330_1_02hvps_16,
38331_19_29hvps_10,
31226_14_29hvps_10,
63090_1_23hvps_6,
492941_1_31hvps_12,
240011_1_20hvps_4,
1477104_7_19hvps_3,
562891_3_31hvps_13,
237091_5_31hvps_13,
361738_23_07hvps_22,
228890_10_02hvps_16,
44984_3_02hvps_16,
89385_1_27hvps_9,
38858_1_01hvps_14,
190633_7_20hvps_4,
1847_7_06hvps_21,
89452_12_19hvps_3,
52710_1_19hvps_3,
78714_5_30hvps_11,
311032_2_19hvps_3,
55168_3_01hvps_14,
171816_1_23hvps_6,
1468794_5_19hvps_3,
587157_4_31hvps_13,
185275_17_31hvps_12,
145490_2_27hvps_9,
2324658_3_23hvps_6,
34199_20_29hvps_10,
657116_2_07hvps_22,
632164_4_31hvps_13,
904348_3_31hvps_13,
346781_2_02hvps_16,
79340_2_31hvps_12,
440873_5_31hvps_13,
990522_4_31hvps_13,
369473_1_25hvps_7,
411613_1_31hvps_13,
172098_1_30hvps_11,
542113_1_31hvps_13,
52863_1_19hvps_3,
73460_3_31hvps_12,
19105_2_29hvps_10,
178152_1_31hvps_12,
2000085_49_20hvps_4,
503801_2_31hvps_12,
171592_1_31hvps_13,
717968_1_31hvps_13,
246402_30_20hvps_4,
1839863_1_20hvps_4,
1836350_7_31hvps_13,
26625_1_07hvps_23,
22525_1_25hvps_7,
466636_4_31hvps_13,
1437838_1_19hvps_3,
111635_37_27hvps_9,
880050_2_31hvps_13,
1777591_3_31hvps_13,
521115_1_31hvps_12,
356217_1_02hvps_16,
60484_41_07hvps_23,
27506_1_29hvps_10,
241911_5_20hvps_4,
545926_4_30hvps_11,
1270684_7_19hvps_3,
1735726_1_31hvps_13,
40719_5_01hvps_14,
3184484_1_23hvps_6,
854429_1_31hvps_13,
46655_1_23hvps_6,
2030584_7_31hvps_13,
97545_1_19hvps_3,
183654_1_31hvps_12,
2656818_2_19hvps_3,
410166_3_31hvps_13,
1197198_7_31hvps_13,
41519_4_23hvps_6,
556921_8_31hvps_13,
1027862_2_31hvps_13,
2312624_1_23hvps_6,
136772_1_23hvps_6,
11233_1_27hvps_9,
1125994_7_31hvps_13,
298331_1_19hvps_3,
39480_2_01hvps_14,
218875_1_31hvps_12,
183886_1_31hvps_12,
1827678_27_20hvps_4,
67932_5_30hvps_11,
42551_1_01hvps_14,
28291_1_29hvps_10,
3253229_12_23hvps_6,
